DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,8,2018,Ever ELL,9,604,0,0,4,44.4,4,44.4,1,11.1,5,55.6
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,8,2019,Ever ELL,19,597,2,10.5,13,68.4,3,15.8,1,5.3,4,21.1
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,8,2014,Never ELL,80,291,31,38.8,37,46.3,7,8.8,5,6.3,12,15
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,8,2015,Never ELL,78,286,36,46.2,28,35.9,11,14.1,3,3.8,14,17.9
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,8,2016,Never ELL,80,297,21,26.3,39,48.8,16,20,4,5,20,25
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,8,2017,Never ELL,85,309,13,15.3,38,44.7,23,27.1,11,12.9,34,40
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,8,2018,Never ELL,90,596,14,15.6,50,55.6,18,20,8,8.9,26,28.9
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,8,2019,Never ELL,91,597,17,18.7,39,42.9,26,28.6,9,9.9,35,38.5
08X467,MOTT HALL COMMUNITY SCHOOL,8,2014,Current ELL,5,s,s,s,s,s,s,s,s,s,s,s
08X467,MOTT HALL COMMUNITY SCHOOL,8,2015,Current ELL,9,s,s,s,s,s,s,s,s,s,s,s
08X467,MOTT HALL COMMUNITY SCHOOL,8,2016,Current ELL,2,s,s,s,s,s,s,s,s,s,s,s
08X467,MOTT HALL COMMUNITY SCHOOL,8,2017,Current ELL,13,263,10,76.9,2,15.4,1,7.7,0,0,1,7.7
